Bacteria,CV_MCC_mean,CV_MCC_std,CV_AUC_mean,CV_AUC_std,CV_GMean_mean,Test_MCC,Test_AUC,Test_GMean,Test_Sensitivity,Test_Specificity,Test_Accuracy,Test_F1
Ab,0.5853769007406704,0.033599836203818706,0.8330692263711132,0.0249837670153724,0.658677959935411,0.46357896719874403,0.766162310866575,0.5527894079214116,0.3076923076923077,0.9931224209078404,0.9473684210526315,0.4383561643835617
Bs,0.5953071285345304,0.025512868658644244,0.8475887853326018,0.017946499690905206,0.7654100718899838,0.5590094168444204,0.8679982392428744,0.7463115504743902,0.6094420600858369,0.9139194139194139,0.8228498074454429,0.6729857819905213
Ec,0.5341879212375811,0.060056833708828354,0.8154110537392534,0.040497648602784174,0.6812461943148105,0.5639050609591293,0.8614977149979226,0.7586686857700388,0.9554597701149425,0.6024096385542169,0.9178433889602053,0.9540889526542324
Ef,0.5503785235995089,0.031743729991462785,0.8216785396960902,0.026765018652221164,0.6501245473619848,0.477113565581537,0.7680209295167745,0.6317616694747663,0.4105263157894737,0.9722222222222222,0.9037227214377407,0.5098039215686274
Kp,0.5947164690307323,0.043423797951641,0.8357599001373421,0.02651763962193588,0.7021451011532897,0.5274906648082774,0.825812772534084,0.6330312768338614,0.4074074074074074,0.9836065573770492,0.9037227214377407,0.5398773006134969
Ml,0.6841514645672596,0.04248301039978538,0.8946037809775689,0.028876679710167268,0.7923637375544376,0.6498051753597635,0.9005718119090212,0.803723684357592,0.6703296703296703,0.9636627906976745,0.9293966623876765,0.6892655367231638
Pa,0.5923060454230005,0.03458168588566082,0.8446896694585483,0.020105516700051413,0.7909130833311242,0.6017127811411614,0.8488875684954117,0.789914641978613,0.7058823529411765,0.8839506172839506,0.7984595635430038,0.7708029197080292
Sa,0.566039305001902,0.027333556240527107,0.8424893001405452,0.015358980789996753,0.7409131679709829,0.5587995134464365,0.8346442481238721,0.7689470507311645,0.9024793388429752,0.6551724137931034,0.8472400513478819,0.9017341040462428
Se,0.6156541703430671,0.02415622575217484,0.8627879130446082,0.019246739671426427,0.7774583387493934,0.6475803141405737,0.8997677705977384,0.8142510955022756,0.7125,0.9305331179321487,0.8857509627727856,0.719242902208202
St,0.6438457414788903,0.039124008804006564,0.8897890384296201,0.01958923686931963,0.7907544013439967,0.6214223465568296,0.8806705081194343,0.7610629852186214,0.6,0.9653614457831325,0.9114249037227214,0.6666666666666665
