Bacteria,CV_MCC_mean,CV_MCC_std,CV_AUC_mean,CV_AUC_std,CV_GMean_mean,Test_MCC,Test_AUC,Test_GMean,Test_Sensitivity,Test_Specificity,Test_Accuracy,Test_F1,Final_Alpha,Target_Alpha,Single_MCC
Ab,0.5846870292863635,0.04757595490585261,0.8153518494084532,0.026691735013029433,0.6619867143099653,0.5094034104629263,0.7908422389165167,0.5705909334470033,0.3269230769230769,0.9958734525447043,0.9512195121951219,0.4722222222222222,0.26871212720870974,0.25,0.5058233038134404
Bs,0.5997122228187912,0.01847198552916888,0.8519269553196489,0.02101352267628781,0.7743596274989171,0.6447164177538045,0.9006194092031001,0.7933423391955754,0.6738197424892703,0.9340659340659341,0.8562259306803595,0.7370892018779343,0.3985313892364502,0.4,0.5598748187294278
Ec,0.5474106270461493,0.04483142772476956,0.7936350610215032,0.040150253385965555,0.6524683208747011,0.609869629863588,0.8999099847666528,0.7572298438529402,0.9712643678160919,0.5903614457831325,0.9306803594351734,0.9615931721194878,0.6251424551010132,0.65,0.4832112409066699
Ef,0.5779092505843655,0.041301192525042406,0.8198457327674193,0.02099408958067357,0.6984452181414865,0.5192710750917237,0.7868882733148662,0.6638676235565704,0.45263157894736844,0.9736842105263158,0.9101412066752247,0.5512820512820513,0.26856967210769656,0.25,0.4947120972931068
Kp,0.5913608120042351,0.02462832310018341,0.8284170671832829,0.01462598738308274,0.702946372010683,0.5999982925407816,0.864133134624938,0.6705570375667883,0.4537037037037037,0.9910581222056631,0.9165596919127086,0.6012269938650306,0.26860603094100954,0.25,0.47971398533831816
Ml,0.6845118941760624,0.033290688448866686,0.9014562858479991,0.0209372876004983,0.7893537466788373,0.6662634446724067,0.8995815231280346,0.7442599151940684,0.5604395604395604,0.9883720930232558,0.938382541720154,0.6799999999999999,0.26881681084632875,0.25,0.5831519816848217
Pa,0.5897790391318221,0.03106126069898099,0.8469636040617049,0.02077412059216775,0.791028671615367,0.6383137112179997,0.8802073017759291,0.8157685410317904,0.7700534759358288,0.8641975308641975,0.8189987163029525,0.803347280334728,0.6258056402206421,0.65,0.5645606683773667
Sa,0.5807777731005241,0.03699233875680489,0.8299887317762048,0.021837712323419193,0.7215013339596285,0.6098908809286188,0.873373230740002,0.8034314173389326,0.9057851239669421,0.7126436781609196,0.8626444159178434,0.911055694098088,0.625570809841156,0.65,0.5449327147067703
Se,0.6382185134946832,0.028538570965983345,0.8638170563122533,0.02002874273570876,0.7706250074628553,0.6914086961994563,0.9142265751211632,0.8006837748261108,0.6625,0.9676898222940227,0.9050064184852374,0.7412587412587412,0.39899848103523256,0.4,0.6035733045854822
St,0.6704170854881412,0.03454614372960378,0.8801398984161217,0.028002676959733797,0.7976837919398402,0.6855387295504063,0.9072812991094813,0.830793230174842,0.7217391304347827,0.9563253012048193,0.9216944801026957,0.7312775330396476,0.398420649766922,0.4,0.6790497853348431
