Bacteria,CV_MCC_mean,CV_MCC_std,CV_AUC_mean,CV_AUC_std,CV_GMean_mean,Test_MCC,Test_AUC,Test_GMean,Test_Sensitivity,Test_Specificity,Test_Accuracy,Test_F1,Final_Alpha,Target_Alpha
Ab,0.5686826437447576,0.050020145486010296,0.8117812376302943,0.05018208194359838,0.6812765496167337,0.4810381542135132,0.8090942757380171,0.6577030277181022,0.4423076923076923,0.9779917469050894,0.9422336328626444,0.5054945054945056,0.269150972366333,0.25
Bs,0.5824156562581612,0.023030010282887106,0.8510445475103339,0.011576748411621521,0.7540597008043429,0.5876041245291916,0.8581490040717509,0.7956722776606717,0.7339055793991416,0.8626373626373627,0.8241335044929397,0.7139874739039666,0.3995932936668396,0.4
Ec,0.5506697593717358,0.040387110287320685,0.8164057241208897,0.033678593067662486,0.6854970227430794,0.5407640900872207,0.8282440105248581,0.7854620047234279,0.9310344827586207,0.6626506024096386,0.9024390243902439,0.9446064139941692,0.6263678073883057,0.65
Ef,0.5856925370074849,0.04177462080950115,0.8069211154075664,0.020591429572344826,0.6940482685076598,0.48646994773795,0.7773622653124039,0.66749717429023,0.4631578947368421,0.9619883040935673,0.9011553273427471,0.5333333333333333,0.2687070667743683,0.25
Kp,0.574257408271076,0.03676122858072233,0.8316214009507344,0.020442856612957087,0.6881603103137721,0.4791487220971984,0.8002842633990174,0.6766107184780931,0.48148148148148145,0.9508196721311475,0.8857509627727856,0.538860103626943,0.2670273184776306,0.25
Ml,0.6888713458303772,0.04697270602711474,0.9021253577997627,0.016765893668963038,0.8034158122452764,0.6775100485458454,0.8917390748786096,0.812725425293171,0.6813186813186813,0.9694767441860465,0.9358151476251605,0.7126436781609196,0.2693600356578827,0.25
Pa,0.5802821835215796,0.04032049577379358,0.8472461673845576,0.02089116985753925,0.7825469744170104,0.5712760443415787,0.8423120089786756,0.785825439549516,0.7914438502673797,0.7802469135802469,0.785622593068036,0.7799736495388669,0.6230337023735046,0.65
Sa,0.574912501732823,0.037390950478748915,0.8435840837328967,0.02110350013598614,0.7484275442770005,0.5433236914267084,0.8050441721288117,0.7336514936307177,0.9272727272727272,0.5804597701149425,0.8498074454428755,0.9055690072639225,0.626419186592102,0.65
Se,0.6603315167708994,0.01469967588631279,0.8634142338181132,0.018543844551671823,0.8024215732147575,0.6447789908379075,0.896062197092084,0.8033024526114476,0.6875,0.938610662358643,0.8870346598202824,0.7142857142857143,0.3998858332633972,0.4
St,0.6663214763663909,0.01623223801894516,0.8821596484284928,0.020392356480689953,0.8071837665364348,0.6402975606401394,0.8882792037716082,0.7634339036885935,0.6,0.9713855421686747,0.9165596919127086,0.6798029556650246,0.400371253490448,0.4
