Bacteria,Test_MCC,Test_AUC,Test_GMean,Test_Sensitivity,Test_Specificity,Test_Accuracy,Test_F1,Final_Alpha,Target_Alpha
Ab,0.5428266081432499,0.8458099671992383,0.7587182415190471,0.5961538461538461,0.9656121045392022,0.9409499358151476,0.5740740740740741,0.2686072289943695,0.25
Bs,0.6801611136459774,0.9066169881620525,0.823102950546308,0.7296137339055794,0.9285714285714286,0.8690629011553274,0.7692307692307692,0.39837419986724854,0.4
Ec,0.6271995680208694,0.9087210912615982,0.7980879206204659,0.9612068965517241,0.6626506024096386,0.9293966623876765,0.9605168700646087,0.6246768236160278,0.65
Ef,0.5604569290667477,0.8389966143428748,0.6600316173629444,0.4421052631578947,0.9853801169590644,0.9191270860077022,0.5714285714285714,0.26838070154190063,0.25
Kp,0.656481003667181,0.8826930507258377,0.7961743405906097,0.6574074074074074,0.9642324888226528,0.9216944801026957,0.6995073891625615,0.2679953873157501,0.25
Ml,0.6560070081697367,0.9070566061845131,0.723099216125179,0.5274725274725275,0.9912790697674418,0.9370988446726572,0.6620689655172415,0.26845911145210266,0.25
Pa,0.6817780570274555,0.9081138179177395,0.831090266991199,0.7540106951871658,0.9160493827160494,0.8382541720154044,0.817391304347826,0.6236044764518738,0.65
Sa,0.6147871140889817,0.8875368101073431,0.7794623201296823,0.9355371900826446,0.6494252873563219,0.8716302952503209,0.9188311688311687,0.6240825653076172,0.65
Se,0.7596051263392162,0.9171445880452342,0.8554621137781934,0.75625,0.9676898222940227,0.9242618741976893,0.8039867109634552,0.3987266421318054,0.4
St,0.7527642797201123,0.938410162388685,0.8405484751817915,0.7217391304347827,0.9789156626506024,0.9409499358151476,0.7830188679245284,0.39881637692451477,0.4
